8.2	12.03	12.34
7.75	10.62	10.91
8.04	9.98	10.55
8.01	9.88	10.54
7.81	9.64	10.46
8.13	9.91	10.72
8.3	9.84	10.51
8.25	9.76	10.4
8.19	9.66	10.38
8.82	10.32	10.85
9.12	10.9	11.38
9.39	11.3	11.85
9.05	11.07	11.65
8.71	10.87	11.54
8.71	10.96	11.69
8.96	11.13	11.83
8.93	10.93	11.67
9.03	11.05	11.84
9.44	11.59	12.32
9.69	11.98	12.63
9.9	12.75	13.41
9.94	13.18	13.56
10.13	13.08	13.36
10.49	12.5	12.72
10.41	12.34	12.52
9.97	11.85	12.16
8.79	10.9	11.57
8.16	10.56	12.5
7.76	10.43	11.38
8.22	10.55	11.51
8.57	11.05	11.86
8	10.49	11.43
7.56	9.75	10.85
7.01	9.05	10.16
7.05	9.18	10.31
7.18	9.31	10.33
7.08	9.37	10.37
7.13	9.25	10.24
7.2	8.88	9.78
7.07	8.4	9.26
7.04	8.41	9.19
7.03	8.1	8.7
6.59	7.3	7.78
6.06	6.86	7.3
6.12	7.27	7.71
6.21	7.41	7.8
5.84	6.86	7.3
5.57	6.49	7.17
5.19	6.62	7.45
5.18	6.56	7.43
5.35	6.46	7.25
5.49	6.43	7.11
5.45	6.41	7.08
5.59	6.56	7.25
5.56	6.58	7.25
5.76	7.32	8.02
5.75	8.02	8.61
5.69	7.82	8.4
5.78	7.74	8.45
6	8.03	8.76
6.32	8.67	9.42
6.4	8.75	9.52
5.81	7.99	8.86
5.8	8.13	8.99
5.9	7.87	8.67
5.69	7.38	8.21
5.69	7.5	8.37
5.92	7.83	8.72
6.27	8.24	9.09
6.5	8.22	8.92
6.73	8.44	9.06
7.02	8.63	9.26
7.23	8.46	8.98
7.34	8.43	8.8
7.68	8.72	8.96
8.09	9.11	9.11
